venue_name,venue_address_1,venue_address_2,venue_address_3,venue_address_4,venue_postcode,website,venue_postcode_clean,postcode_sector,postcode_clean,onspd_postcode_sector,oseast1m,osnrth1m,lat,long,lsoa11,msoa11,osward,oslaua,imd,postcode_match,has_valid_coordinates
Dish Dining Room,19 Boar Lane,Leeds,,,LS1 6EA,http://dishdining.co.uk/,LS1 6EA,LS1 6,LS1 6EA,LS1 6,430111.0,433361.0,53.795692,-1.544366,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Yum Yum,Brewery Place,Leeds,,,LS10 1NE,http://www.yumyumbrewerywharf.co.uk/,LS10 1NE,LS10 1,LS10 1NE,LS10 1,430549.0,433163.0,53.793903,-1.537741,E01033019,E02006876,E05001420,E08000035,13850.0,both,True
Thai Sabai,2 The Parade,Leeds,West Yorkshire,,LS6 3HP,http://www.thaisabaileeds.co.uk/,LS6 3HP,LS6 3,LS6 3HP,LS6 3,427693.0,436059.0,53.820075,-1.580831,E01011440,E02002373,E05001427,E08000035,17456.0,both,True
Dough Bistro,293 Spen Lane,Leeds,West Yorkshire,,LS16 5BD,http://doughleeds.com/,LS16 5BD,LS16 5,LS16 5BD,LS16 5,426207.0,437588.0,53.833893,-1.603273,E01011687,E02006852,E05001432,E08000035,23217.0,both,True
Gaucho,21-22 Park Row,Leeds,,,LS1 5JF,http://www.gauchorestaurants.com,LS1 5JF,LS1 5,LS1 5JF,LS1 5,429957.0,433731.0,53.799026,-1.546668,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
The Duncan,22 Duncan Street,Leeds,,,LS1 6DL,,LS1 6DL,LS1 6,LS1 6DL,LS1 6,430287.0,433375.0,53.795808,-1.541693,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Nash's,17 Merrion Street,Leeds,,,LS2 8JE,http://www.nashsfishandchips.com,LS2 8JE,LS2 8,LS2 8JE,LS2 8,430269.0,433890.0,53.800437,-1.541916,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Frankie & Benny's - Crown Point,Crown Point Shopping Park,Leeds,,,LS10 1ET,http://www.frankieandbennys.com,LS10 1ET,LS10 1,LS10 1ET,LS10 1,430369.0,432592.0,53.788766,-1.540525,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Frankie & Benny's - Kirkstall Road,Cardigan Fields,Kirkstall Road,Leeds,,LS4 2DG,http://www.frankieandbennys.com,LS4 2DG,LS4 2,LS4 2DG,LS4 2,427533.0,434315.0,53.804409,-1.583417,E01011482,E02002385,E05001432,E08000035,6787.0,both,True
Midtown Grill,Trevelyan Square,Leeds,,,LS1 6ET,http://midtowngrill.co.uk,LS1 6ET,LS1 6,LS1 6ET,LS1 6,430191.0,433342.0,53.795517,-1.543154,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Outlaw's Yacht Club,38 New York Street,Leeds,,,LS2 7DY,http://www.outlawsyachtclub.com,LS2 7DY,LS2 7,LS2 7DY,LS2 7,430586.0,433436.0,53.796354,-1.537152,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
Sesame,18 St Paul's Street,(Just of St Paul's Square),Leeds,,LS1 2LE,,LS1 2LE,LS1 2,LS1 2LE,LS1 2,429689.0,433629.0,53.798125,-1.550747,E01033008,E02006875,E05001420,E08000035,14601.0,both,True
The Sunshine Bakery,182 Harrogate Road,Chapel Allerton,Leeds,,LS7 4NZ,,LS7 4NZ,LS7 4,LS7 4NZ,LS7 4,430490.0,437263.0,53.83074,-1.538228,E01011352,E02002363,E05001419,E08000035,14332.0,both,True
