sr_num,created_date,month,enq_type,enq_sub_type,postcode,postcode_sector
2-883457747,2017-07-03,2017-07,LASBT ALMO,Noise Nuisance,LS7 3,LS7 3
2-883483167,2017-07-03,2017-07,LASBT Private,Noise Nuisance,LS7 3,LS7 3
2-883518627,2017-07-04,2017-07,LASBT ALMO,Noise Nuisance,LS9 6,LS9 6
2-883574972,2017-07-04,2017-07,LASBT Private,Noise Nuisance,LS14 3,LS14 3
2-883575455,2017-07-04,2017-07,LASBT Private,Noise Nuisance,LS17 8,LS17 8
2-883575627,2017-07-04,2017-07,LASBT Private,Noise Nuisance,LS14 6,LS14 6
2-883577650,2017-07-04,2017-07,LASBT Private,Noise Nuisance,LS7 4,LS7 4
2-883623196,2017-07-04,2017-07,LASBT Private,Noise Nuisance,LS9 6,LS9 6
2-886930962,2017-07-31,2017-07,LASBT Private,Noise Nuisance,LS17 6,LS17 6
2-883623899,2017-07-04,2017-07,LASBT Private,Noise Nuisance,LS8 3,LS8 3
2-886902285,2017-07-31,2017-07,LASBT Private,Noise Nuisance,LS14 6,LS14 6
2-886779395,2017-07-28,2017-07,LASBT Private,Noise Nuisance,LS17 5,LS17 5
2-886773935,2017-07-28,2017-07,LASBT Private,Noise Nuisance,LS8 5,LS8 5
2-883707543,2017-07-05,2017-07,LASBT Private,Noise Nuisance,LS8 3,LS8 3
2-883758261,2017-07-05,2017-07,LASBT Private,Noise Nuisance,LS8 5,LS8 5
2-886605366,2017-07-27,2017-07,LASBT Private,Noise Nuisance,LS8 4,LS8 4
2-886576509,2017-07-27,2017-07,LASBT Private,Noise Nuisance,LS9 6,LS9 6
2-886315701,2017-07-25,2017-07,LASBT Private,Noise Nuisance,LS8 3,LS8 3
2-883944823,2017-07-06,2017-07,LASBT ALMO,Noise Nuisance,LS8 5,LS8 5
2-886266803,2017-07-25,2017-07,LASBT Private,Noise Nuisance,LS17 6,LS17 6
2-886257443,2017-07-25,2017-07,LASBT Private,Noise Nuisance,LS17 5,LS17 5
2-886232246,2017-07-25,2017-07,LASBT ALMO,Noise Nuisance,LS8 3,LS8 3
2-886186819,2017-07-25,2017-07,LASBT Private,Noise Nuisance,LS9 7,LS9 7
2-886075319,2017-07-24,2017-07,Tenancy Breach,Noise Nuisance,LS17 7,LS17 7
2-884275274,2017-07-10,2017-07,LASBT Private,Noise Nuisance,LS8 5,LS8 5
2-884275494,2017-07-10,2017-07,LASBT ALMO,Noise Nuisance,LS14 1,LS14 1
2-884275883,2017-07-10,2017-07,LASBT Private,Noise Nuisance,LS8 5,LS8 5
2-884303852,2017-07-10,2017-07,LASBT Private,Noise Nuisance,LS8 5,LS8 5
2-884326056,2017-07-10,2017-07,LASBT Private,Noise Nuisance,LS17 6,LS17 6
2-885950021,2017-07-21,2017-07,LASBT Private,Noise Nuisance,LS17 8,LS17 8
2-884326671,2017-07-10,2017-07,LASBT Private,Noise Nuisance,LS8 3,LS8 3
2-885804443,2017-07-20,2017-07,LASBT Private,Noise Nuisance,LS9 6,LS9 6
2-884436533,2017-07-11,2017-07,LASBT Private,Noise Nuisance,LS9 9,LS9 9
2-884564200,2017-07-11,2017-07,LASBT Private,Noise Nuisance,LS7 4,LS7 4
2-884578873,2017-07-11,2017-07,LASBT Private,Noise Nuisance,LS8 2,LS8 2
2-885615362,2017-07-19,2017-07,LASBT Private,Noise Nuisance,LS8 2,LS8 2
2-885546337,2017-07-19,2017-07,LASBT Private,Noise Nuisance,LS22 6,LS22 6
2-885546201,2017-07-19,2017-07,LASBT Private,Noise Nuisance,LS9 8,LS9 8
2-885546049,2017-07-19,2017-07,LASBT Private,Noise Nuisance,LS7 2,LS7 2
2-884741937,2017-07-12,2017-07,LASBT Private,Noise Nuisance,LS7 4,LS7 4
2-884847302,2017-07-13,2017-07,LASBT Private,Noise Nuisance,LS17 6,LS17 6
2-885477124,2017-07-18,2017-07,LASBT ALMO,Noise Nuisance,LS7 2,LS7 2
2-885459259,2017-07-18,2017-07,LASBT Private,Noise Nuisance,LS8 1,LS8 1
2-885458365,2017-07-18,2017-07,LASBT Private,Noise Nuisance,LS8 3,LS8 3
2-884870231,2017-07-13,2017-07,LASBT Private,Noise Nuisance,LS9 6,LS9 6
2-884868870,2017-07-13,2017-07,LASBT Private,Noise Nuisance,LS14 1,LS14 1
2-885349979,2017-07-18,2017-07,LASBT Private,Noise Nuisance,LS9 7,LS9 7
2-884871668,2017-07-13,2017-07,LASBT Private,Noise Nuisance,LS8 4,LS8 4
2-884896077,2017-07-13,2017-07,LASBT Private,Noise Nuisance,LS23 6,LS23 6
2-885266069,2017-07-17,2017-07,LASBT Private,Noise Nuisance,LS14 6,LS14 6
2-885227746,2017-07-17,2017-07,LASBT Private,Noise Nuisance,LS8 3,LS8 3
2-885168538,2017-07-17,2017-07,LASBT Private,Noise Nuisance,LS8 3,LS8 3
2-884993779,2017-07-14,2017-07,Tenancy Breach,Noise Nuisance,LS14 6,LS14 6
2-885109997,2017-07-17,2017-07,LASBT Private,Noise Nuisance,LS8 3,LS8 3
2-883309968,2017-07-03,2017-07,LASBT Private,Noise Nuisance,LS1 4,LS1 4
2-883310097,2017-07-03,2017-07,LASBT Private,Noise Nuisance,LS9 0,LS9 0
2-887077671,2017-07-31,2017-07,LASBT Private,Noise Nuisance,LS25 2,LS25 2
2-887077289,2017-07-31,2017-07,LASBT Private,Noise Nuisance,LS27 7,LS27 7
2-887057972,2017-07-31,2017-07,LASBT Private,Noise Nuisance,LS12 4,LS12 4
2-883332413,2017-07-03,2017-07,LASBT Private,Noise Nuisance,LS11 5,LS11 5
2-883310362,2017-07-03,2017-07,LASBT Private,Noise Nuisance,LS15 8,LS15 8
2-887057086,2017-07-31,2017-07,LASBT Private,Noise Nuisance,LS15 8,LS15 8
2-887026522,2017-07-31,2017-07,LASBT Private,Noise Nuisance,LS10 1,LS10 1
2-887042064,2017-07-31,2017-07,LASBT Private,Noise Nuisance,LS11 0,LS11 0
2-883407705,2017-07-03,2017-07,LASBT Private,Noise Nuisance,LS11 5,LS11 5
2-883442505,2017-07-03,2017-07,LASBT Private,Noise Nuisance,LS25 2,LS25 2
2-883468136,2017-07-03,2017-07,LASBT Private,Noise Nuisance,LS26 0,LS26 0
2-883486465,2017-07-03,2017-07,LASBT Private,Noise Nuisance,LS26 0,LS26 0
2-883497336,2017-07-03,2017-07,LASBT Private,Noise Nuisance,LS12 1,LS12 1
2-883506493,2017-07-04,2017-07,LASBT Private,Noise Nuisance,LS11 7,LS11 7
2-883506675,2017-07-04,2017-07,LASBT Private,Noise Nuisance,LS27 8,LS27 8
2-883534196,2017-07-04,2017-07,LASBT Private,Noise Nuisance,LS14 5,LS14 5
2-883534382,2017-07-04,2017-07,LASBT Private,Noise Nuisance,LS2 7,LS2 7
2-883534466,2017-07-04,2017-07,LASBT Private,Noise Nuisance,LS11 5,LS11 5
2-883551096,2017-07-04,2017-07,LASBT Private,Noise Nuisance,LS10 3,LS10 3
2-883551228,2017-07-04,2017-07,LASBT Private,Noise Nuisance,LS11 9,LS11 9
2-886956187,2017-07-31,2017-07,LASBT Private,Noise Nuisance,LS10 1,LS10 1
2-883601900,2017-07-04,2017-07,LASBT Private,Noise Nuisance,LS10 3,LS10 3
2-886950216,2017-07-31,2017-07,LASBT Private,Noise Nuisance,LS11 6,LS11 6
2-883675368,2017-07-05,2017-07,LASBT Private,Noise Nuisance,LS10 3,LS10 3
2-883676604,2017-07-05,2017-07,LASBT Private,Noise Nuisance,LS25 1,LS25 1
2-886737590,2017-07-28,2017-07,LASBT Private,Noise Nuisance,BD11 1,BD11 1
2-886725960,2017-07-28,2017-07,LASBT Private,Noise Nuisance,LS10 3,LS10 3
2-886710763,2017-07-28,2017-07,LASBT Private,Noise Nuisance,LS27 7,LS27 7
2-886616567,2017-07-27,2017-07,LASBT Private,Noise Nuisance,LS25 1,LS25 1
2-886537790,2017-07-27,2017-07,Tenancy Breach,Noise Nuisance,LS27 7,LS27 7
2-886519819,2017-07-27,2017-07,LASBT ALMO,Noise Nuisance,LS27 9,LS27 9
2-886519047,2017-07-26,2017-07,LASBT Private,Noise Nuisance,LS27 7,LS27 7
2-886475642,2017-07-26,2017-07,LASBT Private,Noise Nuisance,LS25 1,LS25 1
2-886475305,2017-07-26,2017-07,LASBT Private,Noise Nuisance,LS15 9,LS15 9
2-886375844,2017-07-26,2017-07,LASBT Private,Noise Nuisance,LS2 7,LS2 7
2-883914476,2017-07-06,2017-07,LASBT Private,Noise Nuisance,LS25 7,LS25 7
2-886364499,2017-07-26,2017-07,LASBT Private,Noise Nuisance,LS11 8,LS11 8
2-886393050,2017-07-26,2017-07,LASBT Private,Noise Nuisance,LS2 7,LS2 7
2-886361833,2017-07-26,2017-07,LASBT Private,Noise Nuisance,BD11 1,BD11 1
2-886291281,2017-07-25,2017-07,LASBT Private,Noise Nuisance,LS15 7,LS15 7
2-883978170,2017-07-06,2017-07,LASBT Private,Noise Nuisance,LS10 4,LS10 4
2-886252942,2017-07-25,2017-07,LASBT Private,Noise Nuisance,LS10 1,LS10 1
2-886252712,2017-07-25,2017-07,LASBT Private,Noise Nuisance,LS11 7,LS11 7
2-886239603,2017-07-25,2017-07,LASBT Private,Noise Nuisance,LS1 3,LS1 3
2-886101615,2017-07-24,2017-07,LASBT Private,Noise Nuisance,LS26 0,LS26 0
2-886086497,2017-07-24,2017-07,LASBT Private,Noise Nuisance,N,
