postcode_clean,onspd_postcode_sector,oseast1m,osnrth1m,lat,long,lsoa11,msoa11,osward,oslaua,imd
LS1 1AA,LS1 1,429572.0,433410.0,53.796163,-1.552544,E01033008,E02006875,E05001420,E08000035,14601
LS1 1AB,LS1 1,429500.0,433400.0,53.796077,-1.553638,E01033015,E02006875,E05001420,E08000035,15267
LS1 1AD,LS1 1,429500.0,433400.0,53.796077,-1.553638,E01033015,E02006875,E05001420,E08000035,15267
LS1 1AE,LS1 1,429500.0,433400.0,53.796077,-1.553638,E01033015,E02006875,E05001420,E08000035,15267
LS1 1AJ,LS1 1,429848.0,433454.0,53.796543,-1.54835,E01033016,E02006875,E05001420,E08000035,15050
LS1 1AL,LS1 1,429800.0,433400.0,53.79606,-1.549083,E01033016,E02006875,E05001420,E08000035,15050
LS1 1AS,LS1 1,428809.0,433421.0,53.796305,-1.564126,E01011363,E02002400,E05001420,E08000035,229
LS1 1AW,LS1 1,429472.0,433717.0,53.798928,-1.554033,E01033008,E02006875,E05001420,E08000035,14601
LS1 1AZ,LS1 1,428811.0,433420.0,53.796296,-1.564095,E01011363,E02002400,E05001420,E08000035,229
LS1 1BA,LS1 1,429317.0,433507.0,53.797049,-1.556406,E01033008,E02006875,E05001420,E08000035,14601
LS1 1BD,LS1 1,429572.0,433410.0,53.796163,-1.552544,E01033008,E02006875,E05001420,E08000035,14601
LS1 1BL,LS1 1,428811.0,433420.0,53.796296,-1.564095,E01011363,E02002400,E05001420,E08000035,229
LS1 1BN,LS1 1,428809.0,433421.0,53.796305,-1.564126,E01011363,E02002400,E05001420,E08000035,229
LS1 1BW,LS1 1,429572.0,433410.0,53.796163,-1.552544,E01033008,E02006875,E05001420,E08000035,14601
LS1 1BX,LS1 1,428809.0,433421.0,53.796305,-1.564126,E01011363,E02002400,E05001420,E08000035,229
LS1 1DA,LS1 1,429572.0,433410.0,53.796163,-1.552544,E01033008,E02006875,E05001420,E08000035,14601
LS1 1DD,LS1 1,428500.0,433000.0,53.792538,-1.568855,E01011363,E02002400,E05001414,E08000035,229
LS1 1DG,LS1 1,429572.0,433410.0,53.796163,-1.552544,E01033008,E02006875,E05001420,E08000035,14601
LS1 1DH,LS1 1,429572.0,433410.0,53.796163,-1.552544,E01033008,E02006875,E05001420,E08000035,14601
LS1 1DJ,LS1 1,428809.0,433421.0,53.796305,-1.564126,E01011363,E02002400,E05001420,E08000035,229
LS1 1DN,LS1 1,428811.0,433420.0,53.796296,-1.564095,E01011363,E02002400,E05001420,E08000035,229
LS1 1DP,LS1 1,428809.0,433421.0,53.796305,-1.564126,E01011363,E02002400,E05001420,E08000035,229
LS1 1DX,LS1 1,429500.0,433400.0,53.796077,-1.553638,E01033015,E02006875,E05001420,E08000035,15267
LS1 1EA,LS1 1,429472.0,433717.0,53.798928,-1.554033,E01033008,E02006875,E05001420,E08000035,14601
LS1 1EB,LS1 1,429091.0,433444.0,53.796496,-1.559842,E01033015,E02006875,E05001420,E08000035,15267
LS1 1ED,LS1 1,429091.0,433444.0,53.796496,-1.559842,E01033015,E02006875,E05001420,E08000035,15267
LS1 1EE,LS1 1,429091.0,433444.0,53.796496,-1.559842,E01033015,E02006875,E05001420,E08000035,15267
LS1 1EF,LS1 1,429091.0,433444.0,53.796496,-1.559842,E01033015,E02006875,E05001420,E08000035,15267
LS1 1EG,LS1 1,429091.0,433444.0,53.796496,-1.559842,E01033015,E02006875,E05001420,E08000035,15267
LS1 1EH,LS1 1,429091.0,433444.0,53.796496,-1.559842,E01033015,E02006875,E05001420,E08000035,15267
LS1 1EL,LS1 1,429091.0,433444.0,53.796496,-1.559842,E01033015,E02006875,E05001420,E08000035,15267
LS1 1EW,LS1 1,428809.0,433421.0,53.796305,-1.564126,E01011363,E02002400,E05001420,E08000035,229
LS1 1FA,LS1 1,428809.0,433421.0,53.796305,-1.564126,E01011363,E02002400,E05001420,E08000035,229
LS1 1HA,LS1 1,429572.0,433410.0,53.796163,-1.552544,E01033008,E02006875,E05001420,E08000035,14601
LS1 1HB,LS1 1,429300.0,433200.0,53.794291,-1.556693,E01033015,E02006875,E05001420,E08000035,15267
LS1 1HD,LS1 1,428809.0,433421.0,53.796305,-1.564126,E01011363,E02002400,E05001420,E08000035,229
LS1 1HE,LS1 1,428811.0,433420.0,53.796296,-1.564095,E01011363,E02002400,E05001420,E08000035,229
LS1 1HF,LS1 1,428809.0,433421.0,53.796305,-1.564126,E01011363,E02002400,E05001420,E08000035,229
LS1 1HG,LS1 1,429500.0,433600.0,53.797875,-1.553619,E01033008,E02006875,E05001420,E08000035,14601
LS1 1HH,LS1 1,429572.0,433410.0,53.796163,-1.552544,E01033008,E02006875,E05001420,E08000035,14601
LS1 1HJ,LS1 1,429572.0,433410.0,53.796163,-1.552544,E01033008,E02006875,E05001420,E08000035,14601
LS1 1HN,LS1 1,430400.0,433600.0,53.797823,-1.539955,E01033010,E02006875,E05001420,E08000035,8358
LS1 1HP,LS1 1,429200.0,433600.0,53.797892,-1.558173,E01033008,E02006875,E05001420,E08000035,14601
LS1 1HQ,LS1 1,428811.0,433420.0,53.796296,-1.564095,E01011363,E02002400,E05001420,E08000035,229
