postcode_sector,food_venue_count,daytime_noise_count,sector_easting,sector_northing,postcode_count
BD11 1,0,7,,,
BD3 7,0,1,,,
BD4 8,0,1,,,
LS1 2,9,0,429546.85121107264,433556.9169550173,289.0
LS1 3,5,1,429611.3894736842,433904.2315789474,95.0
LS1 4,21,3,429499.6875,433390.4296875,256.0
LS1 5,41,0,429825.34241245134,433568.392996109,257.0
LS1 6,50,0,430139.515,433563.595,200.0
LS1 7,11,0,430320.6818181818,433432.2272727273,22.0
LS1 8,2,0,429837.3396226415,433717.3396226415,53.0
LS10 1,7,10,431181.73509933776,431951.15562913904,302.0
LS10 2,1,11,431172.0263157895,431087.83771929826,228.0
LS10 3,0,16,431024.45608108107,429299.51013513515,296.0
LS10 4,0,18,430523.66275659826,428016.9853372434,341.0
LS11 0,0,15,428312.9822485207,431007.11834319524,169.0
LS11 5,8,13,429835.7375,431262.3625,320.0
LS11 6,0,15,429782.52582159627,431352.76525821595,213.0
LS11 7,0,6,429238.6105263158,430775.4736842105,190.0
LS11 8,0,13,428794.30111524166,430969.32342007436,269.0
LS11 9,1,11,429297.1692913386,432393.5905511811,254.0
LS12 1,0,9,427870.1913357401,433065.3357400722,277.0
LS12 2,0,16,427138.1978417266,433848.464028777,278.0
LS12 3,0,25,426393.48902821314,433472.11912225705,319.0
LS12 4,0,10,426823.48220064724,432513.8511326861,309.0
LS12 5,0,20,425319.00732600736,432086.7252747253,273.0
LS12 6,0,1,427221.15300546447,431686.8360655738,183.0
LS13 1,1,16,423000.8255319149,435944.42553191487,235.0
LS13 2,0,34,424825.52287581697,435297.7320261438,306.0
LS13 3,0,15,424089.6882129278,434929.4182509506,263.0
LS13 4,0,14,424279.54452054796,434072.1438356164,292.0
LS14 1,0,34,435039.8980582524,437119.4077669903,206.0
LS14 2,0,3,435974.5763888889,437401.5763888889,144.0
LS14 3,0,1,436922.3459119497,440152.6540880503,159.0
LS14 5,0,10,436560.8599033816,436217.4106280193,207.0
LS14 6,0,32,435117.5273775216,435543.8962536023,347.0
LS15 0,0,10,434953.0,433346.64215686277,204.0
LS15 4,0,1,438865.9692307692,436963.641025641,195.0
LS15 7,0,12,435703.5714285714,434315.46341463417,287.0
LS15 8,0,5,436833.1781609195,434855.591954023,348.0
LS15 9,0,2,436759.91095890413,433436.08219178085,146.0
LS16 5,3,10,426762.4466403162,437690.8814229249,253.0
