Venue Name,Venue Address 1,Venue Address 2,Venue Address 3,Venue Address 4,Venue Postcode,Website
Dish Dining Room,19 Boar Lane,Leeds,,,LS1 6EA,http://dishdining.co.uk/
Yum Yum,Brewery Place,Leeds,,,LS10 1NE,http://www.yumyumbrewerywharf.co.uk/
Thai Sabai,2 The Parade,Leeds,West Yorkshire,,LS6 3HP,http://www.thaisabaileeds.co.uk/
Dough Bistro,293 Spen Lane,Leeds,West Yorkshire,,LS16 5BD,http://doughleeds.com/
Gaucho,21-22 Park Row,Leeds,,,LS1 5JF,http://www.gauchorestaurants.com
The Duncan,22 Duncan Street,Leeds,,,LS1 6DL,
Nash's,17 Merrion Street,Leeds,,,LS2 8JE,http://www.nashsfishandchips.com
Frankie & Benny's - Crown Point,Crown Point Shopping Park,Leeds,,,LS10 1ET,http://www.frankieandbennys.com
Frankie & Benny's - Kirkstall Road,Cardigan Fields,Kirkstall Road,Leeds,,LS4 2DG,http://www.frankieandbennys.com
Midtown Grill,Trevelyan Square ,Leeds,,,LS1 6ET,http://midtowngrill.co.uk
Outlaw's Yacht Club,38 New York Street,Leeds,,,LS2 7DY,http://www.outlawsyachtclub.com
Sesame,18 St Paul's Street,(Just of St Paul's Square),Leeds,,LS1 2LE,
The Sunshine Bakery,182 Harrogate Road,Chapel Allerton,Leeds,,LS7 4NZ,
Town Hall Tavern,17 Westgate,Leeds,,,LS1 2RA,http://www.townhalltavernleeds.co.uk/
Mango Vegetarian,12-14 Bank Street,Wetherby,Leeds,,LS22 6NQ,http://www.mangovegetarian.com
Sky Lounge,Granary Wharf,2 Wharf Approach,Leeds,,LS1 4BR,http://www.leedscitycentre.doubletree.com
Croft Street Fisheries,2 Croft Street,Farsley,Leeds,,LS28 5HA,http://www.croftstreetfisheries.co.uk/
Neon Cactus,35 Call Lane,Leeds,,,LS1 7BT,http://www.neoncactus.co.uk
Laynes Espresso,16 New Station Street,Leeds,,,LS1 5DL,http://www.laynesespresso.co.uk
Wax Bar and JukeJoint,20 New Briggate,Leeds,,,LS1 6NU,
The Maven Bar,First Floor,1 Call Lane,Leeds,,LS1 7DH,http://www.themavenbar.com/
The White Swan,Swan Street ,Leeds,,,LS1 6LG,http://www.whiteswanleeds.co.uk
51% Bourbon Lounge,11-15 Hirst Yard,Leeds,,,LS1 6NJ,http://www.51percentbourbon.co.uk
Rivers Meet,102 Leeds Road,Methley,Leeds,,LS26 9EP,http://www.riversmeetcraftcafe.co.uk
Mint Cafe,33 North Lane,Headingley,Leeds,,LS6 3HW,http://www.mint-cafe.co.uk
Cafe Lento,21a North Lane,Headingley,Leeds,,LS6 3HW,http://www.cafelento.co.uk
HEART Cafe,Bennett Road,Leeds,,,LS6 3HN,http://www.heartcentre.org.uk
Gallery Munro House,Munro House,York Street,Leeds,,LS9 8AG,http://leedsgallery.com
The Hummingbird Kitchen & Bar,Stainbeck Corner,Harrogate Road,Chapel Allerton,Leeds,LS7 3PG,
The Shed Bar,6 Heatons Court,Leeds,,,LS1 4LJ,http://www.theshedbar.co.uk
Fazenda Rodizio Bar and Grill,"Unit B, Waterman's Place",3 Wharf Approach,Granary Wharf,Leeds,LS1 4GL,http://www.fazenda.co.uk
Around the World in 80 Beers,123 The Headrow,Leeds,,,LS1 5RD,http://www.atw80.com
The Bierkeller,123 The Headrow,Leeds,,,LS1 5RD,http://www.thebierkeller.com
Shooters Sports Bar,123 The Headrow,Leeds,,,LS1 5RD,
Bingley Arms,37 Church Lane,Bardsey,Leeds,,LS17 9DR,http://www.bingleyarms.co.uk
