SR_Created_Date,Sr_Num,Enq_Type,Enq_Sub_Type,Postcode
03 July 2017,2-883457747,LASBT ALMO,Noise Nuisance,LS7 3
03 July 2017,2-883483167,LASBT Private,Noise Nuisance,LS7 3
04 July 2017,2-883518627,LASBT ALMO,Noise Nuisance,LS9 6
04 July 2017,2-883574972,LASBT Private,Noise Nuisance,LS14 3
04 July 2017,2-883575455,LASBT Private,Noise Nuisance,LS17 8
04 July 2017,2-883575627,LASBT Private,Noise Nuisance,LS14 6
04 July 2017,2-883577650,LASBT Private,Noise Nuisance,LS7 4
04 July 2017,2-883623196,LASBT Private,Noise Nuisance,LS9 6
31 July 2017,2-886930962,LASBT Private,Noise Nuisance,LS17 6
04 July 2017,2-883623899,LASBT Private,Noise Nuisance,LS8 3
31 July 2017,2-886902285,LASBT Private,Noise Nuisance,LS14 6
28 July 2017,2-886779395,LASBT Private,Noise Nuisance,LS17 5
28 July 2017,2-886773935,LASBT Private,Noise Nuisance,LS8 5
05 July 2017,2-883707543,LASBT Private,Noise Nuisance,LS8 3
05 July 2017,2-883758261,LASBT Private,Noise Nuisance,LS8 5
27 July 2017,2-886605366,LASBT Private,Noise Nuisance,LS8 4
27 July 2017,2-886576509,LASBT Private,Noise Nuisance,LS9 6
25 July 2017,2-886315701,LASBT Private,Noise Nuisance,LS8 3
06 July 2017,2-883944823,LASBT ALMO,Noise Nuisance,LS8 5
25 July 2017,2-886266803,LASBT Private,Noise Nuisance,LS17 6
25 July 2017,2-886257443,LASBT Private,Noise Nuisance,LS17 5
25 July 2017,2-886232246,LASBT ALMO,Noise Nuisance,LS8 3
25 July 2017,2-886186819,LASBT Private,Noise Nuisance,LS9 7
24 July 2017,2-886075319,Tenancy Breach,Noise Nuisance,LS17 7
10 July 2017,2-884275274,LASBT Private,Noise Nuisance,LS8 5
10 July 2017,2-884275494,LASBT ALMO,Noise Nuisance,LS14 1
10 July 2017,2-884275883,LASBT Private,Noise Nuisance,LS8 5
10 July 2017,2-884303852,LASBT Private,Noise Nuisance,LS8 5
10 July 2017,2-884326056,LASBT Private,Noise Nuisance,LS17 6
21 July 2017,2-885950021,LASBT Private,Noise Nuisance,LS17 8
10 July 2017,2-884326671,LASBT Private,Noise Nuisance,LS8 3
20 July 2017,2-885804443,LASBT Private,Noise Nuisance,LS9 6
11 July 2017,2-884436533,LASBT Private,Noise Nuisance,LS9 9
11 July 2017,2-884564200,LASBT Private,Noise Nuisance,LS7 4
11 July 2017,2-884578873,LASBT Private,Noise Nuisance,LS8 2
19 July 2017,2-885615362,LASBT Private,Noise Nuisance,LS8 2
19 July 2017,2-885546337,LASBT Private,Noise Nuisance,LS22 6
19 July 2017,2-885546201,LASBT Private,Noise Nuisance,LS9 8
19 July 2017,2-885546049,LASBT Private,Noise Nuisance,LS7 2
12 July 2017,2-884741937,LASBT Private,Noise Nuisance,LS7 4
13 July 2017,2-884847302,LASBT Private,Noise Nuisance,LS17 6
18 July 2017,2-885477124,LASBT ALMO,Noise Nuisance,LS7 2
18 July 2017,2-885459259,LASBT Private,Noise Nuisance,LS8 1
18 July 2017,2-885458365,LASBT Private,Noise Nuisance,LS8 3
13 July 2017,2-884870231,LASBT Private,Noise Nuisance,LS9 6
13 July 2017,2-884868870,LASBT Private,Noise Nuisance,LS14 1
18 July 2017,2-885349979,LASBT Private,Noise Nuisance,LS9 7
13 July 2017,2-884871668,LASBT Private,Noise Nuisance,LS8 4
13 July 2017,2-884896077,LASBT Private,Noise Nuisance,LS23 6
17 July 2017,2-885266069,LASBT Private,Noise Nuisance,LS14 6
17 July 2017,2-885227746,LASBT Private,Noise Nuisance,LS8 3
17 July 2017,2-885168538,LASBT Private,Noise Nuisance,LS8 3
14 July 2017,2-884993779,Tenancy Breach,Noise Nuisance,LS14 6
17 July 2017,2-885109997,LASBT Private,Noise Nuisance,LS8 3
03 July 2017,2-883309968,LASBT Private,Noise Nuisance,LS1 4
03 July 2017,2-883310097,LASBT Private,Noise Nuisance,LS9 0
31 July 2017,2-887077671,LASBT Private,Noise Nuisance,LS25 2
31 July 2017,2-887077289,LASBT Private,Noise Nuisance,LS27 7
31 July 2017,2-887057972,LASBT Private,Noise Nuisance,LS12 4
03 July 2017,2-883332413,LASBT Private,Noise Nuisance,LS11 5
03 July 2017,2-883310362,LASBT Private,Noise Nuisance,LS15 8
31 July 2017,2-887057086,LASBT Private,Noise Nuisance,LS15 8
31 July 2017,2-887026522,LASBT Private,Noise Nuisance,LS10 1
31 July 2017,2-887042064,LASBT Private,Noise Nuisance,LS11 0
03 July 2017,2-883407705,LASBT Private,Noise Nuisance,LS11 5
03 July 2017,2-883442505,LASBT Private,Noise Nuisance,LS25 2
03 July 2017,2-883468136,LASBT Private,Noise Nuisance,LS26 0
03 July 2017,2-883486465,LASBT Private,Noise Nuisance,LS26 0
03 July 2017,2-883497336,LASBT Private,Noise Nuisance,LS12 1
04 July 2017,2-883506493,LASBT Private,Noise Nuisance,LS11 7
04 July 2017,2-883506675,LASBT Private,Noise Nuisance,LS27 8
04 July 2017,2-883534196,LASBT Private,Noise Nuisance,LS14 5
04 July 2017,2-883534382,LASBT Private,Noise Nuisance,LS2 7
04 July 2017,2-883534466,LASBT Private,Noise Nuisance,LS11 5
04 July 2017,2-883551096,LASBT Private,Noise Nuisance,LS10 3
04 July 2017,2-883551228,LASBT Private,Noise Nuisance,LS11 9
31 July 2017,2-886956187,LASBT Private,Noise Nuisance,LS10 1
04 July 2017,2-883601900,LASBT Private,Noise Nuisance,LS10 3
31 July 2017,2-886950216,LASBT Private,Noise Nuisance,LS11 6
05 July 2017,2-883675368,LASBT Private,Noise Nuisance,LS10 3
05 July 2017,2-883676604,LASBT Private,Noise Nuisance,LS25 1
28 July 2017,2-886737590,LASBT Private,Noise Nuisance,BD11 1
28 July 2017,2-886725960,LASBT Private,Noise Nuisance,LS10 3
28 July 2017,2-886710763,LASBT Private,Noise Nuisance,LS27 7
27 July 2017,2-886616567,LASBT Private,Noise Nuisance,LS25 1
27 July 2017,2-886537790,Tenancy Breach,Noise Nuisance,LS27 7
27 July 2017,2-886519819,LASBT ALMO,Noise Nuisance,LS27 9
26 July 2017,2-886519047,LASBT Private,Noise Nuisance,LS27 7
26 July 2017,2-886475642,LASBT Private,Noise Nuisance,LS25 1
26 July 2017,2-886475305,LASBT Private,Noise Nuisance,LS15 9
26 July 2017,2-886375844,LASBT Private,Noise Nuisance,LS2 7
06 July 2017,2-883914476,LASBT Private,Noise Nuisance,LS25 7
26 July 2017,2-886364499,LASBT Private,Noise Nuisance,LS11 8
26 July 2017,2-886393050,LASBT Private,Noise Nuisance,LS2 7
26 July 2017,2-886361833,LASBT Private,Noise Nuisance,BD11 1
25 July 2017,2-886291281,LASBT Private,Noise Nuisance,LS15 7
06 July 2017,2-883978170,LASBT Private,Noise Nuisance,LS10 4
25 July 2017,2-886252942,LASBT Private,Noise Nuisance,LS10 1
25 July 2017,2-886252712,LASBT Private,Noise Nuisance,LS11 7
25 July 2017,2-886239603,LASBT Private,Noise Nuisance,LS1 3
24 July 2017,2-886101615,LASBT Private,Noise Nuisance,LS26 0
